angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.18,"(608, 299, 329, 329)",0.0,0.15,0.12,0.41,0.14,0.0
0.05,"(596, 295, 352, 352)",0.0,0.09,0.07,0.68,0.11,0.01
0.06,"(607, 300, 344, 344)",0.0,0.11,0.07,0.65,0.1,0.02
0.19,"(598, 293, 348, 348)",0.0,0.11,0.05,0.49,0.15,0.01
0.09,"(599, 301, 355, 355)",0.0,0.1,0.03,0.65,0.13,0.01
0.13,"(614, 316, 327, 327)",0.0,0.12,0.05,0.53,0.16,0.0
0.23,"(604, 305, 327, 327)",0.0,0.19,0.08,0.36,0.07,0.07
0.14,"(624, 313, 308, 308)",0.0,0.13,0.29,0.36,0.07,0.02
0.08,"(608, 290, 346, 346)",0.0,0.07,0.06,0.69,0.08,0.02
0.06,"(609, 287, 352, 352)",0.0,0.04,0.04,0.76,0.09,0.01
0.07,"(611, 276, 357, 357)",0.0,0.09,0.02,0.73,0.05,0.03
0.05,"(603, 273, 371, 371)",0.0,0.04,0.02,0.8,0.07,0.02
0.06,"(600, 270, 373, 373)",0.0,0.06,0.02,0.77,0.08,0.02
0.06,"(602, 281, 362, 362)",0.0,0.05,0.03,0.77,0.06,0.02
0.05,"(596, 271, 372, 372)",0.0,0.05,0.03,0.78,0.06,0.02
0.08,"(604, 290, 347, 347)",0.0,0.05,0.07,0.71,0.06,0.03
0.15,"(625, 313, 306, 306)",0.0,0.14,0.3,0.34,0.06,0.02
0.09,"(627, 314, 305, 305)",0.0,0.12,0.47,0.27,0.04,0.02
0.02,"(606, 256, 336, 336)",0.0,0.02,0.03,0.93,0.01,0.0
0.03,"(621, 264, 317, 317)",0.0,0.04,0.08,0.84,0.01,0.0
0.05,"(608, 249, 338, 338)",0.0,0.06,0.13,0.72,0.03,0.0
0.04,"(608, 253, 334, 334)",0.0,0.08,0.1,0.75,0.03,0.0
0.03,"(608, 253, 333, 333)",0.0,0.07,0.11,0.75,0.03,0.0
0.02,"(605, 253, 334, 334)",0.0,0.07,0.08,0.78,0.04,0.0
0.04,"(608, 258, 328, 328)",0.0,0.12,0.08,0.68,0.07,0.0
0.02,"(605, 251, 336, 336)",0.0,0.07,0.07,0.8,0.03,0.0
0.02,"(604, 253, 334, 334)",0.0,0.07,0.05,0.82,0.04,0.0
0.01,"(607, 257, 326, 326)",0.0,0.04,0.05,0.83,0.06,0.0
0.01,"(597, 253, 339, 339)",0.0,0.01,0.02,0.94,0.02,0.0
0.01,"(602, 266, 333, 333)",0.0,0.02,0.04,0.92,0.01,0.0
0.0,"(628, 317, 293, 293)",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"(624, 316, 299, 299)",0.0,0.0,0.98,0.02,0.0,0.0
0.0,"(629, 319, 295, 295)",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"(627, 316, 296, 296)",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"(628, 316, 296, 296)",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"(627, 315, 301, 301)",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"(628, 315, 297, 297)",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"(624, 313, 302, 302)",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"(625, 314, 300, 300)",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"(624, 314, 299, 299)",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"(623, 313, 301, 301)",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"(623, 313, 298, 298)",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"(622, 313, 300, 300)",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"(616, 308, 308, 308)",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"(618, 310, 307, 307)",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"(619, 310, 303, 303)",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"(619, 312, 322, 322)",0.0,0.0,1.0,0.0,0.0,0.0
0.01,"(612, 305, 333, 333)",0.0,0.0,0.95,0.02,0.0,0.0
0.0,"(613, 312, 327, 327)",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"(615, 312, 326, 326)",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"(627, 329, 307, 307)",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"(615, 308, 328, 328)",0.0,0.0,0.98,0.01,0.0,0.01
0.01,"(616, 308, 328, 328)",0.0,0.0,0.98,0.01,0.0,0.01
0.0,"(610, 306, 334, 334)",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"(613, 309, 331, 331)",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"(615, 312, 327, 327)",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"(608, 308, 334, 334)",0.0,0.0,0.98,0.01,0.0,0.0
0.01,"(607, 308, 334, 334)",0.0,0.01,0.96,0.02,0.0,0.01
0.0,"(604, 307, 336, 336)",0.0,0.0,0.98,0.01,0.0,0.0
0.0,"(608, 310, 326, 326)",0.0,0.0,0.98,0.01,0.0,0.0
0.01,"(608, 309, 317, 317)",0.0,0.0,0.98,0.01,0.0,0.0
0.02,"(611, 308, 320, 320)",0.0,0.0,0.96,0.01,0.0,0.01
0.0,"(625, 315, 286, 286)",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"(613, 313, 313, 313)",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"(628, 320, 284, 284)",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"(619, 319, 317, 317)",0.0,0.0,0.99,0.01,0.0,0.0
0.0,"(611, 310, 330, 330)",0.0,0.0,0.98,0.01,0.0,0.0
0.02,"(620, 317, 322, 322)",0.0,0.01,0.93,0.03,0.01,0.0
0.02,"(611, 307, 333, 333)",0.0,0.01,0.92,0.04,0.0,0.01
0.01,"(612, 309, 332, 332)",0.0,0.01,0.92,0.04,0.0,0.01
0.01,"(615, 311, 329, 329)",0.0,0.01,0.95,0.02,0.0,0.01
0.03,"(612, 312, 335, 335)",0.0,0.04,0.7,0.2,0.03,0.01
0.17,"(612, 307, 323, 323)",0.0,0.08,0.39,0.27,0.06,0.03
0.13,"(609, 303, 332, 332)",0.0,0.09,0.32,0.32,0.11,0.02
0.14,"(618, 300, 320, 320)",0.0,0.09,0.08,0.61,0.07,0.01
0.15,"(613, 299, 327, 327)",0.0,0.13,0.14,0.45,0.13,0.01
0.13,"(614, 301, 329, 329)",0.0,0.13,0.06,0.49,0.17,0.01
0.09,"(617, 303, 324, 324)",0.0,0.15,0.13,0.47,0.15,0.01
0.09,"(618, 302, 324, 324)",0.0,0.11,0.11,0.52,0.16,0.01
0.06,"(623, 304, 317, 317)",0.0,0.09,0.06,0.65,0.13,0.0
